,tweet_id,text,favorite_count,retweet_count,created_at
33,1599403545672884225,"Are platforms sexualized, yes if I said I didn't treat that Asian guy any different and the artificial intelligence… https://t.co/HlqRX1UzyD",0,0,Sun Dec 04 14:01:35 +0000 2022
34,1599403525250826240,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:01:30 +0000 2022
35,1599403454849777665,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 14:01:13 +0000 2022
36,1599403423564468230,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:01:06 +0000 2022
37,1599403418602258434,"RT @Nilofer_tweets: Harvard University is offering a FREE course in Artificial Intelligence with Python

Beginners friendly
100% FREE for A…",0,12,Sun Dec 04 14:01:05 +0000 2022
38,1599403398700433411,"La velocidad de los cambios, no se compara con ningún otro momento de la historia. Pero viendo el potencial de… https://t.co/8BDTAthN21",0,0,Sun Dec 04 14:01:00 +0000 2022
39,1599403373941465088,The whole point of communicating well is to communicate with MEANING and make people lean in. And even turning some… https://t.co/cn39q7YNBt,0,0,Sun Dec 04 14:00:54 +0000 2022
40,1599403353205002242,"RT @hasantoxr: Google offers free online courses in a ton of fields.

From Computer Science to Artificial Intelligence.

Here are 10 free c…",0,210,Sun Dec 04 14:00:49 +0000 2022
41,1599403325186785281,"AI can be fun

We often worry about the potential dangers of artificial intelligence. But let's not forget that AI… https://t.co/uqnaGVTuRM",0,0,Sun Dec 04 14:00:42 +0000 2022
42,1599403310695739393,"RT @DeptofDefense: The future of surface vessels.  
@US5thFleet began a three-week unmanned and artificial intelligence integration event,…",0,14,Sun Dec 04 14:00:39 +0000 2022
43,1599403281574334467,"RT @DeptofDefense: The future of surface vessels.  
@US5thFleet began a three-week unmanned and artificial intelligence integration event,…",0,14,Sun Dec 04 14:00:32 +0000 2022
44,1599403278327955456,RT @Whythese1: This artist uses artificial intelligence to recreate Harry Potter characters exactly as described in the books.,0,60,Sun Dec 04 14:00:31 +0000 2022
