m-type;average_bifurcation_angle_local;average_contraction;average_diameter;average_fragmentation;average_parent_daughter_ratio;max_branch_order;max_euclidean_distance;max_path_distance;neuron_reconstruction_type;number_bifurcations;number_branches;number_nodes;number_stems;number_tips;overall_depth;overall_height;overall_width;scale_factor_x;scale_factor_y;scale_factor_z;soma_surface;total_length;total_surface;total_volume
Aspiny_10;60.7316538688215;0.872636111096549;0.545497780083287;64.7971014492754;0.903341082348951;6.0;327.280290270144;370.878396560636;full;35;78;4720;8;43;88.167;425.382987565058;496.899475370778;0.1144;0.1144;0.28;311.292359194694;5572.47942976823;9599.14397149616;1497.14084118262
Aspiny_11;61.2331707254634;0.897205405795558;0.23041215228738;39.5909090909091;0.954658520381574;5.0;292.113326054958;299.153903971851;full;11;31;1456;9;20;76.0357;368.298267363019;251.37756694197;0.1144;0.1144;0.28;244.457685031981;1650.18896352666;1198.53151821796;75.823080490537
Aspiny_11;85.159021080362;0.920437190724803;0.34033503565617;59.75;0.834130499017694;5.0;261.967987622076;283.074078893035;full;16;40;2210;8;24;31.439;341.828945060747;407.714212066549;0.1144;0.1144;0.28;178.419815398651;2530.30659839586;2710.98533695714;258.158887490903
Aspiny_11;70.7583667617976;0.92804309982056;0.201322725162621;39.7333333333333;0.803137287728808;3.0;242.351930195842;258.868561141399;full;15;36;1397;6;21;44.5237;302.038542078154;323.493561666049;0.1144;0.1144;0.28;120.229051811474;1621.87132536787;1027.22068597428;54.5212402271617
Aspiny_11;65.0546914715992;0.880665927592236;0.48030795245928;47.8947368421053;0.850066051514948;5.0;215.143224353267;258.243244035341;full;19;46;2070;8;27;40.9819;263.895203236446;350.833442394472;0.1144;0.1144;0.28;438.340660078385;2402.93198167148;3636.75537711517;492.224651003076
Aspiny_11;71.0672996171434;0.919113358846106;0.517491487365724;35.1521739130435;0.982142659628863;5.0;202.44993474479;199.846562747228;full;23;50;1698;4;27;28.8294;335.656152435949;296.083625248694;0.1144;0.1144;0.28;470.139877094169;1937.57951195763;3155.63262072665;415.232829053259
Aspiny_11;70.6702124428783;0.917230473903378;0.5176934508766;36.7272727272727;0.996631785480706;5.0;202.44993474479;199.846562747228;full;22;48;1697;4;26;28.8294;335.656152435949;296.083625248694;0.1144;0.1144;0.28;470.139877094169;1935.48967797379;3153.3032858655;415.874389749494
Aspiny_11;85.5721714664811;0.930503659754074;0.506684933800826;36.9166666666667;0.942454750159059;6.0;216.038034305096;240.710983490637;full;18;43;1550;7;25;78.0528;204.462321471108;353.569652809072;0.1144;0.1144;0.28;357.158242455466;1823.47925567431;2903.50061152391;376.132624203414
Aspiny_11;83.5956856384953;0.927919806429654;0.501174121841051;37.0;0.941366620426002;6.0;216.038034305096;239.322689466865;full;18;43;1548;7;25;78.0528;204.462321471108;353.569652809072;0.1144;0.1144;0.28;357.158242455466;1841.10207061703;2911.39241849298;372.781037647022
Aspiny_11;82.8096062692262;0.865497774734646;0.370262875345797;35.9838709677419;0.959168610990817;6.0;193.574936865623;231.441254558317;full;31;70;2457;8;39;70.5303;211.832434500955;313.891327662426;0.1144;0.1144;0.28;219.840559387716;2806.34892198554;3267.63223016531;309.749199873645
Aspiny_11;85.4225878162203;0.866630231389194;0.241128577071041;64.4705882352941;1.0;5.0;418.460026032846;473.661750624967;full;17;38;2321;4;21;90.3;492.744927024264;441.243283758055;0.1144;0.1144;0.28;116.418407252645;2648.70595708459;2007.40486744081;120.912762659264
Aspiny_11;62.0130201920844;0.934903453638427;0.472650858649626;74.55;1.0;4.0;332.665245400433;352.653584207518;full;10;24;1583;4;14;127.9023;393.715595961344;363.606736281799;0.1144;0.1144;0.28;283.865912745326;1884.35480774338;2791.92078104198;350.210703908007
Aspiny_12;73.0506311079379;0.912087066308559;0.297691345134361;44.8666666666667;0.90558246709761;4.0;178.847082935507;186.764543764719;full;15;35;1492;5;20;49.0;265.905787914371;327.905250295218;0.1144;0.1144;0.28;314.56469370564;1753.70762560165;1645.93936711654;134.554469689956
Aspiny_12;65.1582847459081;0.912332753468635;0.440635677992076;42.3958333333333;0.862858297580866;4.0;282.536038146092;294.421810775628;full;24;55;2150;7;31;71.4865;295.040642050971;449.003844522342;0.1144;0.1144;0.28;348.347559501049;2551.00098287993;3540.50832284454;436.11387124548
Aspiny_12;61.7790897828308;0.907519047593931;0.440624117521319;46.0227272727273;0.840604156022813;3.0;282.536038146092;293.197099044787;full;22;51;2139;7;29;71.4865;295.040642050971;449.003844522342;0.1144;0.1144;0.28;348.347559501049;2544.16873271605;3531.3420085296;434.643558302163
Aspiny_12;77.986854179645;0.90606900243335;0.447968896889614;56.1363636363636;0.995291363335708;5.0;209.325939715196;225.607718415617;full;22;49;2647;5;27;106.4;252.708384052934;390.772148093935;0.1144;0.1144;0.28;425.580642211533;3110.35903204636;4378.05859329045;496.306579764234
Aspiny_12;77.986854179645;0.907266105974924;0.44688850777645;57.6363636363636;0.997127910626801;5.0;209.325939715196;225.607718415617;full;22;49;2713;5;27;106.4;261.36276316749;390.772148093935;0.1144;0.1144;0.28;425.580642211533;3187.52839329312;4475.81564096876;506.203946891791
Aspiny_12;74.9810405740889;0.868881835328354;0.528262619922623;67.025;1.0;4.0;273.38586262424;319.773839710228;full;20;47;3111;7;27;136.5398;367.657946217846;502.658895684265;0.1144;0.1144;0.28;441.543571857004;3737.78114498364;6218.31771432826;854.141667709206
Aspiny_12;82.0526074825821;0.888105503650369;0.519984665137069;53.3777777777778;1.0;6.0;267.066901075068;296.895142221241;full;23;51;2518;5;28;79.422;371.080354106358;280.370994615812;0.1144;0.1144;0.28;472.800464973129;2947.95275641007;4812.50553742414;670.785609834204
Aspiny_12;85.367760603432;0.766131820723879;0.500666287998586;70.1282051282051;1.0;5.0;279.700520780512;321.542383450866;full;39;85;5649;7;46;70.8243;504.347686296845;398.69534608965;0.1144;0.1144;0.28;429.124752530972;6502.1056718883;10233.5434827511;1317.07761361283
Aspiny_12;74.6054240549167;0.881888290533234;0.485299937931064;58.2105263157895;0.92894492978683;3.0;294.243058241329;369.106133826534;full;19;44;2305;6;25;92.1037;422.420443207279;423.598325261091;0.1144;0.1144;0.28;325.351426515763;2763.76528515129;4217.74538200565;533.313935727388
Aspiny_12;74.5052284645842;0.877022568173149;0.491593688885427;55.4074074074074;0.997862449674179;5.0;257.536083642409;285.60824844527;full;27;61;3163;7;34;99.5363;279.498293972948;338.324599768749;0.1144;0.1144;0.28;504.330020323167;3654.74119446498;5635.23606832756;728.146517078458
Aspiny_12;80.0387163535571;0.859911341872828;0.445882517153647;60.375;1.02839279229823;4.0;210.913009298739;244.51123045067;full;12;29;1478;5;17;92.96;206.462482051622;347.61539811442;0.1144;0.1144;0.28;204.6525330093;1718.80689526171;2403.0022809422;277.544649177289
Aspiny_12;81.114851351839;0.898249895735594;0.381641674211318;62.2307692307692;1.0;8.0;319.966731283301;360.700003257085;full;26;56;3279;4;30;116.1947;363.593342194349;217.38421429199;0.1144;0.1144;0.28;237.661170241281;3879.11332468903;4648.84298114101;446.50081100322
Aspiny_12;75.2080539847729;0.855535450249341;0.36654128769816;69.1428571428571;0.957158914359262;4.0;298.190541158401;350.911608071827;full;21;47;3050;5;26;99.1606;352.430051964562;531.592300143303;0.1144;0.1144;0.28;159.864234812576;3456.05164490798;3972.77238349229;381.674356716041
Aspiny_13;72.1202045226615;0.879718263377171;0.321162578545214;41.45;0.91025295278667;5.0;265.22226197974;298.720088842983;full;20;43;1787;3;23;98.8344;417.890619951542;193.590562530523;0.1144;0.1144;0.28;252.4236723228;2066.36972922975;2085.78986130838;180.446413690076
Aspiny_13;80.6799321548372;0.863418949502536;0.451349761935986;28.6197183098592;0.800019133565411;6.0;208.046202257311;253.688230045116;full;36;74;2089;2;38;109.7502;316.160272237147;167.861928996275;0.1144;0.1144;0.28;294.369497078846;2493.43865241345;3531.28189178467;464.41676541078
Aspiny_13;76.0818867692454;0.929936850226702;0.44177140638721;50.6052631578947;0.822252333755706;6.0;295.883792511959;314.325115506624;full;19;40;1930;2;21;65.8;439.987868136122;142.544452490559;0.1144;0.1144;0.28;355.074285549658;2234.38712076888;3107.18115078337;387.94827949501
Aspiny_13;63.2998159312909;0.860777400144539;0.444784122618537;52.0833333333333;0.995482267901513;5.0;411.595438688745;479.011089892437;full;18;38;1990;2;20;77.971;595.96017142236;298.279263295398;0.1144;0.1144;0.28;412.630025207143;2310.95690921177;3225.0877806814;362.289231098183
Aspiny_13;69.5801954185954;0.894593442670483;0.522625222248457;40.1428571428571;1.0;7.0;390.916497514303;409.164805582794;full;21;44;1749;2;23;48.8266;646.719193576876;143.53466163454;0.1144;0.1144;0.28;220.497298865971;1978.00378399749;3247.52875289703;429.37776486373
Aspiny_13;76.9035862200615;0.877449058767211;0.461880853710509;40.8448275862069;1.0;7.0;287.119724083125;321.714308016301;full;29;60;2421;2;31;93.1602;477.001856403025;256.159597536347;0.1144;0.1144;0.28;232.899829171386;2830.94777122001;4096.82647531559;485.035636879249
Aspiny_13;80.1569055661261;0.885432030438088;0.64343195524496;36.6590909090909;0.996254132782938;6.0;175.053720817154;223.09079888021;full;22;46;1653;2;24;60.3019;295.585847636107;177.06935202358;0.1144;0.1144;0.28;446.181612859204;1898.96475155409;3849.87821870199;647.380020335601
Aspiny_13;87.5620884358991;0.818533094016218;0.561728191347423;46.3142857142857;0.998979237897032;7.0;309.569395479414;358.248986553141;full;35;72;3308;2;37;103.0207;506.88137902083;187.339010403113;0.1144;0.1144;0.28;176.060933895473;3901.36564334656;6881.47283322617;994.633390673723
Aspiny_14;83.3103730492901;0.866917271472905;0.336524788287487;31.5360824742268;0.910473390293097;9.0;377.572238826585;418.244018019855;full;49;100;3083;2;51;81.3557;544.036554354473;211.594858553485;0.1144;0.1144;0.28;256.711218141886;3591.75363418558;3793.42967786326;376.006200711658
Aspiny_14;77.0928221071247;0.880287971966955;0.367535591154604;36.3695652173913;0.998562525794692;7.0;196.168642234227;229.12673328812;full;23;49;1797;3;26;79.3374;358.472221146494;268.991672671611;0.1144;0.1144;0.28;275.163350363798;2093.05723364791;2414.49760786649;223.809013056849
Aspiny_14;72.671509529289;0.860790207589849;0.394467273476964;39.98;0.999492385786802;8.0;386.66231640915;429.295541608614;full;25;53;2120;3;28;110.8528;596.15921973512;190.01439932956;0.1144;0.1144;0.28;149.815907997487;2459.65829267615;3048.62275047175;308.196686551484
Aspiny_14;77.7947109585313;0.882325223887817;0.229116753206807;39.2222222222222;0.987652826243466;7.0;324.981751409291;408.207149482961;full;32;67;2642;3;35;62.3129;617.42113168284;220.612021400763;0.1144;0.1144;0.28;89.2964529320737;3010.47234839538;2169.04409021859;124.499006126187
Aspiny_14;82.0611225836525;0.879501847081;0.453338223530415;53.275;0.988890237979602;8.0;330.326036177017;375.188961498679;full;20;42;2226;2;22;111.6816;570.197155916328;228.416557502226;0.1144;0.1144;0.28;174.198176409131;2556.36135372443;3637.47680687478;426.094187590541
Aspiny_14;85.6872368521912;0.856909177441652;0.276067493804587;31.3375;1.0;10.0;393.538347534023;442.644073555551;full;40;82;2553;2;42;108.0369;540.584300309548;246.766983844343;0.1144;0.1144;0.28;66.9362474498747;2993.54555051108;2591.64475862752;191.13883261979
Aspiny_14;69.1727864905482;0.909886143391665;0.433362360743362;39.7692307692308;0.986111629992154;10.0;381.382717362494;410.711064605267;full;26;54;2085;2;28;48.3574;578.145266734599;139.75519872123;0.1144;0.1144;0.28;169.032889881388;2380.32742661968;3243.01379416301;358.236327170666
Aspiny_14;80.0594166246258;0.852306930145197;0.488583771250745;44.5;0.968664869849555;6.0;330.650481570389;374.128612072949;full;22;47;1996;3;25;72.2137;499.679320629281;241.533438724038;0.1144;0.1144;0.28;165.110075847539;2317.81165130768;3550.81581193754;452.000703742863
Aspiny_14;83.3866446477727;0.858058603791292;0.57217840011384;34.9142857142857;1.0;9.0;362.872558777693;435.179489480984;full;35;72;2493;2;37;92.3807;595.658778642005;230.05263256215;0.1144;0.1144;0.28;405.388591953611;2863.94194252361;5149.38539254953;773.209133286084
Aspiny_14;71.0969039914028;0.911645494599901;0.546974046847141;45.6363636363636;1.0;6.0;324.569594255038;336.652521480219;full;33;69;3167;3;36;88.9406;613.81992215687;178.524807053165;0.1144;0.1144;0.28;265.193605836408;3674.48751271327;6307.16524937056;905.884732062933
Aspiny_14;76.667283711706;0.888544424463225;0.515480573315164;46.5131578947368;0.993785191940789;10.0;360.033284695846;401.877317889276;full;38;78;3546;2;40;70.4894;593.632856965093;237.453381389796;0.1144;0.1144;0.28;169.966018350837;4096.16082426099;6717.46314544508;1009.10639494718
Aspiny_14;74.482183506004;0.897419803419202;0.457377795688382;40.3142857142857;1.0;7.0;324.879659359585;410.387968710616;full;35;72;2892;2;37;117.5672;541.939538925847;244.33315721903;0.1144;0.1144;0.28;167.772541757457;3315.22384886273;4764.39974350992;555.819895710138
Aspiny_15;60.7344357444817;0.93003559922143;0.307145225705926;35.4285714285714;0.91628502701753;6.0;221.693929686787;223.946103618043;full;28;58;2022;2;30;51.3383;416.771188482359;156.100914437166;0.1144;0.1144;0.28;514.976551499547;2331.49795175833;2254.13581397429;177.23005393226
Aspiny_15;69.4945005092409;0.902315550787003;0.588013422827643;43.2142857142857;0.992678664983045;9.0;453.550667736627;514.13341298013;full;28;58;2572;2;30;44.198;637.728802863695;256.493864968218;0.1144;0.1144;0.28;466.59663639206;2953.73331985341;5473.120309205;876.189386627937
Aspiny_15;69.2727159252238;0.869331383240249;0.394023932280396;45.0740740740741;0.969310164701106;8.0;356.233844263484;422.059385099052;full;27;57;2793;3;30;73.5851;545.833362405848;223.633866651117;0.1144;0.1144;0.28;267.445203388149;3231.48643231771;4001.49591886472;409.109021042625
Aspiny_15;66.5023213281269;0.816475085242084;0.454294910593022;52.9722222222222;1.0;6.0;238.712078029475;296.532860916777;full;18;38;1983;2;20;60.75;430.920546488099;178.335696702321;0.1144;0.1144;0.28;294.44158277327;2243.54465658169;3201.76726915253;366.389074137302
Aspiny_15;76.0812338198918;0.900082477804188;0.470671698312174;31.5116279069767;0.998836832872835;9.0;389.854359329135;417.9652201789;full;43;89;2867;3;46;70.5379;623.81665407077;145.074647722705;0.1144;0.1144;0.28;230.864585863706;3313.19908630227;4897.64415597244;579.42350988754
Aspiny_15;75.0936565803006;0.890893757360205;0.552156082247372;36.0892857142857;0.999285436785437;9.0;275.20952300858;316.859993608238;full;28;58;2087;2;30;70.8792;451.570678313067;231.124643003415;0.1144;0.1144;0.28;334.201900281534;2387.01326598151;4147.09022178982;587.923319373245
Aspiny_16;77.1636030925259;0.904747524919181;0.402249661112473;42.6904761904762;0.834651200329899;8.0;581.388354811179;637.830647603346;full;42;86;3599;2;44;96.7767;849.470383528109;363.469221170901;0.1144;0.1144;0.28;134.661062018251;4052.79842886773;5132.43297706662;573.012647232831
Aspiny_16;77.2107529926493;0.904494076261338;0.401957735456782;41.7790697674419;0.830579242507014;9.0;581.388354811179;637.830647603346;full;43;88;3606;2;45;96.7767;849.470383528109;363.469221170901;0.1144;0.1144;0.28;134.661062018251;4063.68161442221;5142.29147724659;572.694074037321
Aspiny_16;68.2777855827692;0.903812782532041;0.284183716645795;45.6;0.922801398667862;4.0;366.973706050638;393.495729971885;full;10;23;1001;3;13;45.6408;505.72107451969;198.042417609076;0.1144;0.1144;0.28;100.01257354731;1177.32535883507;1054.29678589441;87.9036817505231
Aspiny_16;81.1708100735163;0.907452190635905;0.47930337564343;61.5476190476191;0.827698687465963;6.0;582.522171613416;609.254692437343;full;21;44;2639;2;23;71.12;766.86285459945;245.946180667806;0.1144;0.1144;0.28;384.98992200697;3081.1390461405;4646.68845868784;657.724537096029
Aspiny_16;74.3080978325847;0.930777547762859;0.445389199837893;46.9761904761905;0.815091621035342;7.0;378.734646244782;402.693339632884;full;21;46;2042;4;25;65.2159;456.575003786495;214.330102286972;0.1144;0.1144;0.28;246.048261319283;2387.15404529107;3357.94635804513;426.762939871648
Aspiny_16;77.884185144268;0.895434921632915;0.474287531656737;48.8392857142857;0.829669341645048;5.0;289.179292392816;337.136728140032;full;28;59;2813;3;31;102.1723;425.740460418557;254.019534122763;0.1144;0.1144;0.28;161.845814598701;3299.22672980459;4917.52782131487;653.817361429706
Aspiny_16;66.4333726726785;0.919545922607191;0.321797390296612;57.2083333333333;0.997671297686474;3.0;386.538146693454;406.915744223959;full;12;27;1553;3;15;42.8123;566.79586387942;158.950698314279;0.1144;0.1144;0.28;191.780211954158;1784.10784269565;1803.24299086633;147.199537122497
Aspiny_16;72.0175755089936;0.930489350833036;0.515843210033214;58.2619047619048;0.987559519473105;7.0;449.536507264805;477.151005845451;full;21;44;2474;2;23;47.7456;709.752433467997;201.909985304002;0.1144;0.1144;0.28;662.812317500359;2852.07294944829;4621.60004165894;618.725628235398
Aspiny_16;72.0165153561363;0.930489240464571;0.515844198820708;58.2619047619048;0.987565768691953;7.0;449.536507264805;477.151001216876;full;21;44;2474;2;23;47.7456;709.752433467997;201.909985304002;0.1144;0.1144;0.28;662.812317500359;2852.07320556699;4621.60858157047;618.728024465491
Aspiny_16;78.0669752022192;0.909987973347493;0.499930973381627;40.7894736842105;1.0;7.0;475.696500332439;531.286964632856;full;29;62;2715;4;33;67.6906;684.736221163159;338.937145900392;0.1144;0.1144;0.28;431.230002297162;3167.43908231636;4966.59682328554;624.628250566161
Aspiny_16;89.3796314364778;0.839265201119248;0.482814107869138;41.1842105263158;1.0;6.0;379.467122415434;478.507526937336;full;19;42;1656;4;23;97.1199;433.990545403408;212.070517255875;0.1144;0.1144;0.28;329.696621174902;1901.10439345179;2881.35941138224;348.215062003631
Aspiny_16;82.1297239907269;0.910677662635945;0.46890931329962;49.8928571428571;1.0;11.0;415.781936182755;472.465797618332;full;28;58;2837;2;30;63.2562;684.125697160628;184.565158945055;0.1144;0.1144;0.28;329.755837357529;3289.43025571448;4846.61420314822;572.298330688364
Aspiny_16;80.7265572616721;0.833294718812906;0.332183382598546;47.037037037037;1.0;6.0;370.992734333517;497.71000293584;full;27;58;2839;4;31;94.3065;555.528680039712;314.03849476175;0.1144;0.1144;0.28;128.261489605032;3315.34102377518;3457.6648903923;296.376911676013
Aspiny_16;67.1025233326505;0.918022392958421;0.202660047095443;41.3225806451613;0.998224563925463;7.0;403.033580825891;495.020688894014;full;31;65;2601;3;34;138.4051;557.00064537568;236.417843429726;0.1144;0.1144;0.28;40.3039862119545;3105.84255688202;1978.41171925427;101.628069840316
Aspiny_16;85.9952420524266;0.873600265165057;0.463698938482115;46.5384615384615;1.0;6.0;423.246110481183;482.828441604401;full;13;30;1366;4;17;127.0895;639.378995665771;246.677637851376;0.1144;0.1144;0.28;112.536684527559;1629.53738477116;2373.48320798812;284.329839386667
Aspiny_16;73.9502937690617;0.894121992833854;0.494569565920408;40.9473684210526;0.983430168168884;7.0;356.798504305063;387.095087023783;full;19;40;1635;2;21;52.5493;594.801594646469;153.3052914737;0.1144;0.1144;0.28;152.547910138254;1884.23026042804;2922.09654871594;384.473999671788
Aspiny_17;78.5696712092498;0.884521936811154;0.273051540400072;16.7542372881356;0.999660885254106;7.0;110.448307008709;130.653003638239;full;59;126;2059;8;67;56.67;132.977437001482;183.974949602756;0.1144;0.1144;0.28;189.31007100479;2400.37053185882;2059.12193719093;138.686990983289
Aspiny_17;74.5247686473928;0.870385580708459;0.509852605754761;45.5128205128205;0.965993490186577;9.0;340.277006374938;355.981647954037;full;39;81;3649;3;42;66.7777;646.026564422483;345.806076777175;0.1144;0.1144;0.28;371.794574239793;4270.34283775899;6839.25432609358;913.130161604459
Aspiny_17;75.7966951412637;0.867127726625951;0.513473460842433;47.0789473684211;0.980200642944507;8.0;340.277006374938;355.981647954037;full;38;79;3679;3;41;66.7777;646.026564422483;345.806076777175;0.1144;0.1144;0.28;371.794574239793;4308.33440084757;6948.50886379061;926.470029956783
Aspiny_17;77.8994646596919;0.867071064529892;0.371337149597656;90.8636363636364;1.0;3.0;376.678655239502;415.587385162611;full;11;26;2045;4;15;110.04;512.747620631886;444.938719918393;0.1144;0.1144;0.28;164.269169967322;2442.32362100809;2846.07162502883;269.88381162534
Aspiny_17;74.5818076881925;0.882148093259471;0.483321635958679;39.1304347826087;0.998413492711128;4.0;134.029164263193;161.682741525969;full;23;55;2044;9;32;47.3396;235.761977965427;220.870543236082;0.1144;0.1144;0.28;419.085208701771;2335.78092224107;3542.22317581727;427.92801735979
Aspiny_17;77.4405666990422;0.900146911997255;0.488647905228136;54.9545454545455;0.999879104040818;4.0;229.523007884264;260.29470406753;full;11;29;1413;7;18;78.6251;266.851738202137;201.136257871702;0.1144;0.1144;0.28;286.579670022833;1652.7867672853;2536.40641606104;308.418558647106
Aspiny_17;85.8727388340153;0.87177191330675;0.536761955259383;39.3469387755102;0.99897090243227;5.0;193.281679792214;230.355530774375;full;25;54;1960;4;29;80.1413;186.999162234488;286.160634335552;0.1144;0.1144;0.28;408.996462273975;2327.30713739487;3929.35066434066;537.583681280743
Aspiny_17;92.8814919727109;0.901711758025657;0.542789039430209;36.0416666666667;1.0;4.0;235.106779262211;269.191528484899;full;12;27;948;3;15;84.7851;142.466816810786;341.790693328536;0.1144;0.1144;0.28;664.688833816528;1106.57450178995;1885.19210440781;263.778219569565
Aspiny_17;84.291766236987;0.83918348056598;0.481154234926423;47.2727272727273;0.973250490516678;4.0;152.429462201308;195.583268868981;full;11;25;1101;3;14;99.3879;219.076428697456;218.784605250707;0.1144;0.1144;0.28;348.243642923498;1265.2787750761;1908.20408228119;229.072625074983
