,0
0,7.166666666666667
1,8.666666666666666
2,6.0
3,7.0
4,7.0
5,8.857142857142858
6,14.0
7,11.0
8,15.714285714285714
9,14.0
10,15.833333333333334
11,12.833333333333334
12,14.714285714285714
13,13.833333333333334
14,16.5
15,13.833333333333334
16,12.5
17,11.285714285714286
18,11.2
19,9.5
20,14.0
21,13.833333333333334
22,12.25
23,12.666666666666666
24,12.857142857142858
25,14.833333333333334
26,14.125
27,14.714285714285714
28,16.2
29,16.0
30,16.285714285714285
31,18.0
32,17.428571428571427
33,16.625
34,16.666666666666668
35,15.6
36,14.0
37,15.428571428571429
38,15.25
39,15.875
40,15.333333333333334
41,16.285714285714285
42,17.333333333333332
43,19.166666666666668
44,14.428571428571429
45,13.666666666666666
46,15.6
47,15.857142857142858
48,17.714285714285715
49,20.0
50,20.5
51,17.428571428571427
52,16.857142857142858
53,16.875
54,17.857142857142858
55,20.8
56,19.428571428571427
57,17.333333333333332
58,19.0
59,19.33333333333333
60,17.6
61,20.875
62,20.857142857142858
63,23.428571428571427
64,24.166666666666668
65,25.428571428571427
66,23.142857142857142
67,24.0
68,23.5
69,21.5
70,22.33333333333333
71,24.166666666666668
72,20.33333333333333
73,22.666666666666668
74,23.428571428571427
75,22.5
76,29.166666666666668
77,23.83333333333333
78,25.25
79,27.375
80,27.0
81,23.5
82,24.142857142857142
83,21.0
84,22.428571428571427
85,21.25
86,23.5
87,23.2
88,25.375
89,25.166666666666668
90,26.2
91,24.6
92,25.6
93,25.857142857142858
94,29.142857142857142
95,28.714285714285715
96,30.166666666666668
97,30.0
98,30.0
99,28.857142857142858
100,30.2
101,28.25
102,28.25
103,32.125
104,29.2
105,30.285714285714285
106,28.285714285714285
107,30.625
108,27.666666666666668
109,27.375
110,28.625
111,30.285714285714285
112,31.142857142857142
113,29.875
114,31.142857142857142
115,30.571428571428573
116,32.125
117,31.142857142857142
118,31.857142857142858
119,29.83333333333333
120,28.571428571428573
121,32.857142857142854
122,32.625
123,32.75
124,32.875
125,34.5
126,34.285714285714285
127,34.0
128,30.75
129,29.857142857142858
130,31.714285714285715
131,32.285714285714285
132,33.0
133,33.0
134,32.833333333333336
135,31.4
136,35.333333333333336
137,36.4
138,36.0
139,36.75
140,37.5
141,38.42857142857143
142,38.71428571428572
143,37.8
144,35.857142857142854
145,35.333333333333336
146,34.142857142857146
147,32.2
148,33.625
149,32.0
150,32.4
151,35.6
152,35.857142857142854
153,37.16666666666666
154,31.285714285714285
155,34.0
156,34.2
157,36.16666666666666
158,36.625
159,30.166666666666668
160,34.142857142857146
161,29.83333333333333
162,30.142857142857142
163,30.714285714285715
164,27.0
165,26.875
166,28.4
167,29.857142857142858
168,33.0
169,34.833333333333336
170,35.6
171,35.166666666666664
172,33.142857142857146
173,30.571428571428573
174,30.666666666666668
175,31.428571428571427
176,31.5
177,33.25
178,32.833333333333336
179,33.857142857142854
180,33.142857142857146
181,31.571428571428573
182,32.375
183,32.8
184,31.0
185,31.166666666666668
186,29.83333333333333
187,29.0
188,29.75
189,32.5
190,28.875
191,31.75
192,30.75
193,31.75
194,29.875
195,31.125
196,31.75
197,30.5
198,26.83333333333333
199,28.2
200,29.5
201,31.857142857142858
202,29.714285714285715
203,28.33333333333333
204,30.0
205,30.142857142857142
