,q_estimatorqnn
Rescaling Method,Normalizer
Missing Method,knn
Extraction Method,PCA
Accuracy,0.5
Precision,0.4444444444444444
Recall,0.4444444444444444
F1 Score,0.4444444444444444
Cross-validation mean,0.5428571428571428
Cross-validation std,0.14317425122259914
