,Target
0,10.0
1,7.4
2,7.166666666666667
3,8.666666666666666
4,6.0
5,7.0
6,7.0
7,8.857142857142858
8,14.0
9,11.0
10,15.714285714285714
11,14.0
12,15.833333333333334
13,12.833333333333334
14,14.714285714285714
15,13.833333333333334
16,16.5
17,13.833333333333334
18,12.5
19,11.285714285714286
20,11.2
21,9.5
22,14.0
23,13.833333333333334
24,12.25
25,12.666666666666666
26,12.857142857142858
27,14.833333333333334
28,14.125
29,14.714285714285714
30,16.2
31,16.0
32,16.285714285714285
33,18.0
34,17.428571428571427
35,16.625
36,16.666666666666668
37,15.6
38,14.0
39,15.428571428571429
40,15.25
41,15.875
42,15.333333333333334
43,16.285714285714285
44,17.333333333333332
45,19.166666666666668
46,14.428571428571429
47,13.666666666666666
48,15.6
49,15.857142857142858
50,17.714285714285715
51,20.0
52,20.5
53,17.428571428571427
54,16.857142857142858
55,16.875
56,17.857142857142858
57,20.8
58,19.428571428571427
59,17.333333333333332
60,19.0
61,19.33333333333333
62,17.6
63,20.875
64,20.857142857142858
65,23.428571428571427
66,24.166666666666668
67,25.428571428571427
68,23.142857142857142
69,24.0
70,23.5
71,21.5
72,22.33333333333333
73,24.166666666666668
74,20.33333333333333
75,22.666666666666668
76,23.428571428571427
77,22.5
78,29.166666666666668
79,23.83333333333333
80,25.25
81,27.375
82,27.0
83,23.5
84,24.142857142857142
85,21.0
86,22.428571428571427
87,21.25
88,23.5
89,23.2
90,25.375
91,25.166666666666668
92,26.2
93,24.6
94,25.6
95,25.857142857142858
96,29.142857142857142
97,28.714285714285715
98,30.166666666666668
99,30.0
100,30.0
101,28.857142857142858
102,30.2
103,28.25
104,28.25
105,32.125
106,29.2
107,30.285714285714285
108,28.285714285714285
109,30.625
110,27.666666666666668
111,27.375
112,28.625
113,30.285714285714285
114,31.142857142857142
115,29.875
116,31.142857142857142
117,30.571428571428573
118,32.125
119,31.142857142857142
120,31.857142857142858
121,29.83333333333333
122,28.571428571428573
123,32.857142857142854
124,32.625
125,32.75
126,32.875
127,34.5
128,34.285714285714285
129,34.0
130,30.75
131,29.857142857142858
132,31.714285714285715
133,32.285714285714285
134,33.0
135,33.0
136,32.833333333333336
137,31.4
138,35.333333333333336
139,36.4
140,36.0
141,36.75
142,37.5
143,38.42857142857143
144,38.71428571428572
145,37.8
146,35.857142857142854
147,35.333333333333336
148,34.142857142857146
149,32.2
150,33.625
151,32.0
152,32.4
153,35.6
154,35.857142857142854
155,37.16666666666666
156,31.285714285714285
157,34.0
158,34.2
159,36.16666666666666
160,36.625
161,30.166666666666668
162,34.142857142857146
163,29.83333333333333
164,30.142857142857142
165,30.714285714285715
166,27.0
167,26.875
168,28.4
169,29.857142857142858
170,33.0
171,34.833333333333336
172,35.6
173,35.166666666666664
174,33.142857142857146
175,30.571428571428573
176,30.666666666666668
177,31.428571428571427
178,31.5
179,33.25
180,32.833333333333336
181,33.857142857142854
182,33.142857142857146
183,31.571428571428573
184,32.375
185,32.8
186,31.0
187,31.166666666666668
